id,date_added,source_channel,company,founder_name,founder_role,founder_email,founder_linkedin,founder_x,website,stage,vertical,geo,trigger_event,priority,sequence_started_date,emails_sent,linkedin_dms_sent,replied,replied_date,snapshot_submitted_date,snapshot_delivered_date,follow_up_call_booked,follow_up_call_held_date,paid_tier,paid_date,paid_amount_usd,fractional_retainer_lead,notes
1,2026-05-15,YC-W26,Beacon Health,,CEO,,,,,,Seed,HealthTech,US,Just raised — largest healthcare raise in W26,A,,,,,,,,,,,,,
2,2026-05-15,YC-W26,Synthetic Sciences,,Co-founder,,,,,,Seed,DevTools/AI,US,$1.4M pre-YC + $500k standard,A,,,,,,,,,,,,,
3,2026-05-15,YC-W26,Patientdesk.ai,,Co-founder,,,,,,Seed,HealthTech (SMB SaaS),US,Just-launched SMB clinic SaaS,A,,,,,,,,,,,,,
4,2026-05-15,YC-W26,Fenrock,,Co-founder,,,,,,Seed,Fintech RegTech,US,AI compliance — investor diligence intensive,A,,,,,,,,,,,,,
5,2026-05-15,YC-W26,Captain (runcaptain.com),,Co-founder,,,,,,Seed,Consumer AI,US,Garry Tan pick — investor scrutiny,A,,,,,,,,,,,,,
6,2026-05-15,YC-W26,Canary,,Co-founder,,,,,,Seed,DevTools/AI,US,AI QA — usage-based pricing question,A,,,,,,,,,,,,,
7,2026-05-15,YC-W26,Pax Historia,,Co-founder,,,,,,Seed,Gaming/AI,US,High inbound — needs monetisation narrative,A,,,,,,,,,,,,,
8,2026-05-15,YC-W26,GrazeMate,,Co-founder,,,,,,Seed,AgriTech/Hardware,US/AU,Hardware unit economics,A,,,,,,,,,,,,,
9,2026-05-15,YC-W26,DAIVIN,,Co-founder,,,,,,Seed,Hardware (Marine),US,COGS + working capital narrative,A,,,,,,,,,,,,,
10,2026-05-15,TechCrunch,Origin Lab,,CEO,,,,,,Seed ($8M May 2026),Data/Gaming,US,Lightspeed seed — investor cadence,A,,,,,,,,,,,,,
11,2026-05-15,TechCrunch,Davis,,Co-founder,,,,,,Pre-Seed ($5.5M May 2026),B2B SaaS,EU/US,Pre-seed = no finance hire,A,,,,,,,,,,,,,
12,2026-05-15,Inc42,Banza,,Co-founder,,,,,,Pre-Seed ($1M May 2026),AI,India,Fresh pre-seed,A,,,,,,,,,,,,,
13,2026-05-15,Inc42,Vobiz.ai,,Co-founder,,,,,,Seed ($1M May 2026),AI,India,Fresh seed,A,,,,,,,,,,,,,
14,2026-05-15,Inc42,AI Library,,Co-founder,,,,,,Pre-Seed ($560k May 2026),AI/EdTech,India,Tight runway,A,,,,,,,,,,,,,
15,2026-05-15,Inc42,JobsUPI,,Co-founder,,,,,,Pre-Seed ($250k May 2026),HRtech/Marketplace,India,Razor-thin runway,A,,,,,,,,,,,,,
16,2026-05-15,SaaSNews,Multibagg AI,,Co-founder,,,,,,Pre-Seed (₹1.5cr 2026),Fintech RetailInvesting,India (Bengaluru),Fintech = trust on numbers,A,,,,,,,,,,,,,
17,2026-05-15,Stellaris,OrbitShift,,Co-founder,,,,,,Seed ($3M Jan 2026),B2B SaaS,India (Bengaluru),Stellaris portfolio,A,,,,,,,,,,,,,
