priority,entry_type,company_or_cohort,segment,stage,geo,founder_or_contact,source_url,trigger_or_hook,n_prospects,notes
A,named_company,Beacon Health,HealthTech,Seed (YC W26),US,"Stanford/Harvard physician + ex-Amazon Alexa eng",https://www.ycombinator.com/companies?batch=Winter+2026,Largest healthcare raise in W26 — fresh cash + Accel/Sequoia scout pressure on financials,1,Highest priority — investor-ready story is top pain
A,named_company,Synthetic Sciences,DevTools/AI,Seed (YC W26),US,(see YC W26 page),https://www.ycombinator.com/companies?batch=Winter+2026,$1.4M pre-YC + $500k standard = needs runway math now,1,
A,named_company,Patientdesk.ai,HealthTech,Seed (YC W26),US,(see YC W26 page),https://www.ycombinator.com/companies?batch=Winter+2026,SMB dental clinic SaaS — unit economics question on every call,1,
A,named_company,Fenrock,Fintech (RegTech),Seed (YC W26),US,(see YC W26 page),https://www.ycombinator.com/companies?batch=Winter+2026,AI compliance for banks/fintechs — buyers will ask for financial diligence,1,
A,named_company,Captain (runcaptain.com),Consumer/AI,Seed (YC W26),US,(see YC W26 page),https://runcaptain.com,Garry Tan's personal pick — extra investor scrutiny on the model,1,
A,named_company,Canary,DevTools/AI,Seed (YC W26),US,(see YC W26 page),https://www.ycombinator.com/companies?batch=Winter+2026,AI QA engineer — B2B SaaS with usage-based pricing question,1,
A,named_company,Pax Historia,Gaming/AI,Seed (YC W26),US,(see YC W26 page),https://www.ycombinator.com/companies?batch=Winter+2026,2334 likes on YC launch — high inbound; needs to convert hype to revenue narrative,1,
A,named_company,GrazeMate,AgriTech/Hardware,Seed (YC W26),US/AU,(see YC W26 page),https://www.ycombinator.com/companies?batch=Winter+2026,Hardware unit economics is hard — natural fit for Deep Dive,1,
A,named_company,DAIVIN,Hardware,Seed (YC W26),US,(see YC W26 page),https://www.ycombinator.com/companies?batch=Winter+2026,COGS + working capital narrative needed pre-Series A,1,
B,named_company,Ndea,AI Research,Seed (YC W26),US,François Chollet,https://www.ycombinator.com/companies?batch=Winter+2026,Foundational LLM — but well-funded; lower priority,1,Anti-ICP edge case but worth one warm DM
A,named_company,Origin Lab,Data/Gaming,Seed ($8M May 2026),US,(see TechCrunch),https://techcrunch.com/2026/05/13/origin-lab-raises-8m-to-help-video-game-companies-sell-data-to-world-model-builders/,Just raised $8M from Lightspeed — fresh cash + investor reporting cadence kicks in,1,
A,named_company,Lithosquare,DeepTech,Seed ($25M May 5 2026),US,(see Kindred Ventures portfolio),https://www.kindredventures.com,Just raised $25M — model needs to defend the next 24 months,1,Verify stage; if Series A or larger skip
A,named_company,Nace AI,AI/Enterprise,Seed ($21.5M May 5 2026),US,(see General Catalyst portfolio),https://www.generalcatalyst.com,$21.5M Seed from GC — investor reporting pressure is immediate,1,Likely edge of ICP; warm intro only
A,named_company,Davis,B2B SaaS,Pre-Seed ($5.5M May 7 2026),EU/US,(see Heartcore portfolio),https://heartcore.com,Pre-seed = no finance hire yet — perfect Snapshot fit,1,
